name, slogan, description, category, default_price
"Generic Frozen Towels", "Ergonomic heuristic array", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Shoes", "71.00"
"Tasty Frozen Towels", "Future-proofed optimizing benchmark", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Games", "855.00"
"Ergonomic Plastic Soap", "Distributed needs-based methodology", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Beauty", "600.00"
"Fantastic Frozen Bacon", "User-friendly directional contingency", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Industrial", "691.00"
"Practical Soft Hat", "Re-contextualized local capability", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Music", "368.00"
"Sleek Rubber Sausages", "Sharable bifurcated migration", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Movies", "215.00"
"Gorgeous Steel Shoes", "Ergonomic asynchronous knowledge base", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Clothing", "744.00"
"Unbranded Fresh Mouse", "Down-sized national matrix", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Garden", "519.00"
"Fantastic Rubber Car", "Switchable fresh-thinking methodology", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Tools", "288.00"
"Sleek Cotton Shirt", "Synergistic incremental emulation", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Shoes", "721.00"
"Licensed Wooden Keyboard", "Intuitive mission-critical moderator", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Outdoors", "681.00"
"Fantastic Soft Tuna", "Enterprise-wide intangible synergy", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Movies", "342.00"
"Refined Cotton Cheese", "Customizable user-facing projection", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Garden", "827.00"
"Gorgeous Cotton Fish", "Reduced background array", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Beauty", "986.00"
"Practical Concrete Hat", "Object-based 4th generation Graphical User Interface", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Computers", "475.00"
"Generic Frozen Hat", "Multi-channelled motivating adapter", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Health", "98.00"
"Fantastic Soft Pants", "Innovative tertiary task-force", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Industrial", "882.00"
"Handmade Steel Car", "Decentralized zero administration instruction set", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Grocery", "235.00"
"Gorgeous Frozen Sausages", "Operative 5th generation system engine", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Movies", "935.00"
"Unbranded Frozen Pants", "Multi-layered transitional customer loyalty", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Books", "394.00"
"Generic Soft Mouse", "Object-based web-enabled focus group", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Sports", "413.00"
"Gorgeous Concrete Shirt", "User-centric content-based service-desk", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Baby", "646.00"
"Ergonomic Frozen Table", "Centralized directional product", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Grocery", "749.00"
"Handcrafted Frozen Tuna", "Persistent methodical strategy", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Kids", "800.00"
"Fantastic Rubber Computer", "User-centric mobile contingency", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Toys", "469.00"
"Unbranded Fresh Towels", "Streamlined grid-enabled intranet", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Games", "743.00"
"Handmade Cotton Car", "Organic intermediate superstructure", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Industrial", "789.00"
"Handcrafted Plastic Keyboard", "Reactive content-based policy", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Electronics", "879.00"
"Gorgeous Steel Shoes", "Adaptive multi-tasking artificial intelligence", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Games", "587.00"
"Fantastic Plastic Tuna", "Pre-emptive global focus group", "The Football Is Good For Training And Recreational Purposes", "Shoes", "243.00"
"Handmade Frozen Chips", "Diverse hybrid capacity", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Health", "290.00"
"Gorgeous Cotton Sausages", "Up-sized value-added system engine", "Carbonite web goalkeeper gloves are ergonomically designed to give easy fit", "Toys", "610.00"
"Gorgeous Rubber Table", "Reduced solution-oriented alliance", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Music", "670.00"
"Unbranded Frozen Keyboard", "Cloned next generation productivity", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Books", "42.00"
"Generic Wooden Towels", "Re-contextualized tangible contingency", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Movies", "527.00"
"Fantastic Wooden Pizza", "Networked context-sensitive budgetary management", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Automotive", "61.00"
"Sleek Granite Chips", "Sharable non-volatile service-desk", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Beauty", "518.00"
"Handmade Cotton Bacon", "Ergonomic grid-enabled budgetary management", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Industrial", "924.00"
"Small Concrete Computer", "Realigned directional array", "The Football Is Good For Training And Recreational Purposes", "Grocery", "638.00"
"Intelligent Wooden Fish", "Organized global groupware", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Games", "100.00"
"Gorgeous Cotton Bacon", "Public-key 3rd generation process improvement", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Grocery", "224.00"
"Intelligent Fresh Tuna", "Team-oriented national array", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Clothing", "109.00"
"Small Steel Pizza", "Organic bandwidth-monitored standardization", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Home", "284.00"
"Gorgeous Cotton Bacon", "User-centric client-server Graphic Interface", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Electronics", "584.00"
"Unbranded Concrete Salad", "Persistent fresh-thinking framework", "Carbonite web goalkeeper gloves are ergonomically designed to give easy fit", "Movies", "998.00"
"Incredible Soft Soap", "Progressive human-resource utilisation", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Toys", "589.00"
"Fantastic Soft Soap", "Front-line didactic policy", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Grocery", "530.00"
"Tasty Granite Mouse", "Polarised zero administration adapter", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Movies", "678.00"
"Sleek Plastic Ball", "Synergistic next generation migration", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Shoes", "625.00"
"Small Soft Soap", "Cross-platform 5th generation approach", "The Football Is Good For Training And Recreational Purposes", "Automotive", "764.00"
"Fantastic Granite Table", "Streamlined contextually-based policy", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Movies", "47.00"
"Rustic Wooden Gloves", "Vision-oriented logistical archive", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Tools", "214.00"
"Generic Metal Cheese", "Team-oriented neutral customer loyalty", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Movies", "120.00"
"Practical Metal Shirt", "Decentralized radical interface", "The Football Is Good For Training And Recreational Purposes", "Tools", "819.00"
"Rustic Steel Keyboard", "Grass-roots discrete access", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Movies", "867.00"
"Handcrafted Metal Shirt", "User-centric neutral array", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Shoes", "74.00"
"Incredible Cotton Bacon", "Synergized reciprocal core", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Toys", "203.00"
"Rustic Rubber Ball", "Networked uniform frame", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Home", "381.00"
"Licensed Wooden Table", "Profound demand-driven interface", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Sports", "279.00"
"Fantastic Wooden Bacon", "Team-oriented hybrid matrices", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Home", "364.00"
"Practical Soft Table", "Programmable motivating parallelism", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Electronics", "33.00"
"Handcrafted Fresh Chips", "Stand-alone didactic open architecture", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Toys", "213.00"
"Ergonomic Frozen Table", "Configurable transitional hardware", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Beauty", "103.00"
"Small Concrete Bacon", "Multi-lateral explicit infrastructure", "Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles", "Shoes", "829.00"
"Intelligent Plastic Car", "Reactive heuristic capacity", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Garden", "677.00"
"Tasty Plastic Car", "Re-engineered mobile middleware", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Beauty", "677.00"
"Awesome Granite Soap", "Advanced multi-state process improvement", "The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J", "Games", "212.00"
"Licensed Plastic Gloves", "Universal grid-enabled pricing structure", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Movies", "860.00"
"Unbranded Fresh Tuna", "Front-line stable help-desk", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Movies", "41.00"
"Intelligent Steel Towels", "Synchronised exuding instruction set", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Baby", "69.00"
"Handcrafted Metal Pants", "Compatible full-range instruction set", "The Football Is Good For Training And Recreational Purposes", "Home", "132.00"
"Small Plastic Sausages", "Total clear-thinking artificial intelligence", "New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart", "Shoes", "493.00"
"Tasty Cotton Tuna", "Business-focused zero administration solution", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Garden", "52.00"
"Small Concrete Mouse", "Switchable executive interface", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Garden", "156.00"
"Unbranded Granite Cheese", "Reduced demand-driven concept", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Garden", "23.00"
"Sleek Soft Pizza", "De-engineered holistic access", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Sports", "439.00"
"Tasty Granite Keyboard", "Centralized client-server time-frame", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Grocery", "532.00"
"Incredible Rubber Hat", "Automated multi-tasking access", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Industrial", "429.00"
"Handmade Wooden Fish", "Up-sized heuristic function", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Clothing", "810.00"
"Ergonomic Rubber Pants", "Triple-buffered explicit access", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Industrial", "51.00"
"Rustic Granite Shoes", "Compatible disintermediate website", "The Football Is Good For Training And Recreational Purposes", "Shoes", "568.00"
"Licensed Soft Shoes", "User-centric fresh-thinking matrix", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Books", "872.00"
"Handcrafted Soft Fish", "Re-contextualized fault-tolerant Graphic Interface", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Jewelery", "693.00"
"Unbranded Plastic Salad", "Future-proofed didactic concept", "The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality", "Health", "975.00"
"Ergonomic Plastic Chair", "Multi-lateral analyzing implementation", "The Football Is Good For Training And Recreational Purposes", "Toys", "591.00"
"Practical Cotton Mouse", "Cloned value-added strategy", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Baby", "308.00"
"Handmade Cotton Bike", "Customizable uniform implementation", "The Football Is Good For Training And Recreational Purposes", "Home", "961.00"
"Tasty Frozen Sausages", "Pre-emptive encompassing complexity", "The Football Is Good For Training And Recreational Purposes", "Clothing", "309.00"
"Tasty Plastic Computer", "Multi-tiered tangible functionalities", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Electronics", "357.00"
"Fantastic Soft Chair", "Networked secondary framework", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Electronics", "863.00"
"Refined Plastic Towels", "Advanced optimal approach", "New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016", "Toys", "736.00"
"Handmade Granite Gloves", "Devolved composite neural-net", "Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support", "Grocery", "999.00"
"Ergonomic Metal Shoes", "Fully-configurable zero administration extranet", "The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design", "Beauty", "388.00"
"Handcrafted Soft Mouse", "Optimized leading edge hardware", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Shoes", "505.00"
"Handcrafted Frozen Pants", "Visionary composite definition", "Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals", "Movies", "646.00"
"Sleek Granite Salad", "Monitored multi-state database", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Tools", "623.00"
"Tasty Cotton Salad", "Configurable didactic matrices", "The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients", "Sports", "891.00"
"Small Rubber Hat", "Networked systematic leverage", "The Football Is Good For Training And Recreational Purposes", "Health", "200.00"
"Refined Cotton Computer", "Customizable multi-state service-desk", "The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive", "Home", "10.00"
"Handmade Concrete Bike", "Operative high-level knowledge user", "Carbonite web goalkeeper gloves are ergonomically designed to give easy fit", "Clothing", "765.00"
